Chemical Formula,Trace,State,Date
OP5,[],Solid,2011-10-12 18:11:42
1PB,"['P1B', 'B1P', '1PB']",Solid,2020-11-14 02:16:12
PE5,['E5P'],Gas,2020-08-26 09:53:59
9OT,"['O9T', 'O9T']",Solid,2016-08-17 20:56:32
WL1,"['1LW', '1WL', 'L1W']",Gas,2013-02-11 12:50:00
RZ5,"['5RZ', 'RZ5', 'Z5R']",Solid,2013-09-30 20:18:48
G6O,[],Liquid,2021-03-18 22:33:49
C6K,['KC6'],Solid,2021-07-14 20:46:22
U5V,['5UV'],Liquid,2021-03-11 07:14:43
3BO,[],Gas,2014-02-18 11:34:56
KN3,"['KN3', 'NK3']",Gas,2021-06-25 17:30:27
1EU,['1EU'],Liquid,2010-11-06 17:44:52
RG6,['G6R'],Solid,2019-07-01 13:18:30
Y7R,['RY7'],Solid,2016-05-21 09:41:35
NG8,"['GN8', 'GN8', '8NG']",Gas,2013-03-20 00:14:55
F5A,"['FA5', 'AF5']",Gas,2011-12-21 03:03:11
C2Z,"['2CZ', 'C2Z']",Solid,2015-07-30 20:31:38
E1R,"['1ER', 'R1E']",Supercritical fluid,2012-08-18 23:24:38
TU8,[],Gas,2010-06-04 19:29:14
6UG,"['U6G', 'UG6']",Solid,2010-08-19 15:00:34
2WX,"['W2X', 'X2W']",Liquid,2020-05-02 12:26:39
9CT,"['C9T', '9CT']",Solid,2020-11-23 03:04:49
8LK,[],Plasma,2020-12-31 09:07:44
K3J,['J3K'],Liquid,2013-03-01 13:50:03
M5U,[],Solid,2012-03-22 09:13:21
R0O,"['0RO', '0RO']",Solid,2010-05-09 21:42:37
0JX,[],Gas,2020-10-31 09:36:59
1DK,['1DK'],Solid,2021-06-14 06:42:35
K0W,['WK0'],Liquid,2011-05-05 23:04:29
S6A,['AS6'],Liquid,2021-10-11 04:46:28
GU9,[],Liquid,2012-01-25 03:12:43
HA9,"['HA9', '9HA']",Solid,2016-08-29 07:24:18
G6E,['EG6'],Gas,2020-12-17 15:37:10
OE0,['EO0'],Liquid,2015-01-22 21:54:32
9CN,"['NC9', 'C9N']",Liquid,2010-08-23 19:28:11
K6K,"['K6K', '6KK', 'K6K']",Liquid,2010-04-04 21:30:43
Z9P,"['ZP9', 'P9Z', 'ZP9']",Liquid,2012-12-18 18:51:13
C8N,[],Gas,2020-04-14 14:26:37
XT8,"['8XT', '8TX', '8XT']",Liquid,2020-05-11 16:10:58
KJ0,"['0KJ', '0KJ']",Solid,2015-11-23 18:09:28
0YU,[],Gas,2018-07-17 14:55:17
8LY,['YL8'],Liquid,2015-06-16 08:01:22
3WM,"['M3W', 'WM3', '3MW']",Liquid,2020-10-12 00:13:41
6SA,[],Liquid,2015-03-21 19:39:45
2CN,[],Solid,2012-10-29 21:38:15
7PW,"['WP7', 'W7P', '7WP']",Liquid,2017-03-30 19:03:28
RC8,['8RC'],Gas,2014-02-11 02:29:22
V4Z,"['4ZV', 'VZ4']",Gas,2013-02-11 06:01:37
J1N,"['J1N', 'J1N']",Liquid,2021-10-03 08:57:39
CV3,['3VC'],Gas,2018-02-22 23:51:48
2DW,"['DW2', 'DW2']",Solid,2017-09-12 13:31:37
7GO,['O7G'],Gas,2020-06-21 15:55:45
0FH,[],Gas,2018-11-12 14:43:10
0CL,"['CL0', 'LC0']",Liquid,2019-05-15 23:51:37
NK1,['1NK'],Gas,2020-06-27 04:07:08
S8Q,"['SQ8', 'Q8S', 'S8Q']",Liquid,2021-05-07 10:19:53
0PG,[],Gas,2019-09-01 04:00:24
5DS,"['SD5', 'D5S']",Solid,2020-03-12 18:25:26
NV0,['0NV'],Solid,2021-12-19 02:38:20
K7V,"['KV7', 'VK7', 'VK7']",Gas,2020-01-14 18:05:20
6MV,"['VM6', '6VM', 'MV6']",Gas,2017-11-04 05:48:53
T5U,['TU5'],Solid,2012-04-17 01:10:01
5GD,"['G5D', 'G5D', '5GD']",Gas,2019-08-06 13:15:42
S1U,"['S1U', 'US1', 'U1S']",Gas,2015-09-14 08:40:24
VH2,['HV2'],Liquid,2019-12-05 09:11:45
1OH,['H1O'],Gas,2013-11-15 22:53:54
HJ1,[],Solid,2013-04-16 07:19:08
BW7,[],Solid,2019-10-02 19:07:26
RJ2,"['R2J', 'R2J', '2JR']",Liquid,2018-08-07 15:05:30
T4N,"['4NT', 'N4T', 'NT4']",Solid,2017-03-15 20:08:48
X2L,['L2X'],Liquid,2019-11-02 20:24:15
KW2,['2WK'],Liquid,2011-01-13 21:52:53
KA7,"['KA7', 'AK7', 'AK7']",Supercritical fluid,2020-09-10 00:43:10
6KH,"['KH6', 'K6H', '6HK']",Liquid,2011-06-16 07:24:30
AJ9,"['9JA', '9JA', 'JA9']",Liquid,2014-07-10 07:53:06
YN1,"['YN1', 'NY1']",Gas,2021-01-22 17:16:28
I1F,['FI1'],Solid,2020-02-19 22:41:22
6ND,[],Gas,2021-02-17 13:42:15
5GO,"['5GO', '5GO', '5OG']",Liquid,2011-10-28 00:30:58
8XH,"['8HX', '8HX']",Liquid,2013-05-31 15:15:17
BO0,"['0OB', 'O0B', 'B0O']",Gas,2012-06-30 00:13:24
UL0,"['0UL', '0UL', 'LU0']",Gas,2015-06-23 13:28:42
R2X,[],Liquid,2015-02-23 01:41:56
UW5,[],Liquid,2016-03-02 12:57:38
0NI,[],Gas,2018-02-10 05:09:36
UW5,[],Gas,2020-08-06 00:51:48
ZE5,"['5ZE', 'EZ5', 'EZ5']",Solid,2011-09-24 13:49:51
B4N,['4NB'],Solid,2018-08-01 20:25:55
GF0,"['GF0', 'GF0']",Liquid,2016-02-23 10:14:14
8QH,"['8HQ', '8HQ']",Gas,2021-11-22 21:18:01
M5O,"['M5O', '5OM', 'MO5']",Solid,2016-03-11 04:18:57
2ZP,['PZ2'],Solid,2017-01-07 01:28:41
HJ9,['J9H'],Gas,2011-02-18 14:24:32
1WC,[],Gas,2011-09-23 20:51:35
WI9,[],Solid,2013-06-14 09:47:21
Q0F,['QF0'],Solid,2010-04-20 08:39:23
7UY,"['7UY', '7UY']",Gas,2014-12-05 20:55:49
UQ4,[],Solid,2017-11-05 10:37:02
RL9,[],Gas,2019-02-21 09:29:43
X2F,"['XF2', '2FX', 'FX2']",Liquid,2013-03-10 00:26:27
F4Q,"['4FQ', 'Q4F']",Solid,2019-05-16 03:32:47
9AJ,['9AJ'],Liquid,2014-04-01 02:23:15
7IF,[],Liquid,2013-10-18 06:28:17
U9S,['U9S'],Solid,2017-12-05 16:16:30
H5E,['H5E'],Gas,2011-10-07 23:45:30
5UV,[],Gas,2018-10-31 07:43:09
8YT,"['TY8', 'Y8T']",Liquid,2012-03-10 03:31:39
7DQ,[],Liquid,2021-09-11 11:35:13
9UR,"['R9U', '9RU', 'U9R']",Solid,2015-08-03 04:14:21
1TS,"['T1S', '1TS', '1TS']",Solid,2010-06-11 05:21:06
LE8,"['L8E', 'EL8', '8EL']",Solid,2014-01-16 13:01:37
4HI,['HI4'],Gas,2014-11-22 16:12:48
Z8B,"['BZ8', 'Z8B']",Solid,2011-07-27 16:49:53
6PG,[],Solid,2018-04-29 09:22:03
CU3,['CU3'],Gas,2017-07-16 10:56:52
3OL,['L3O'],Liquid,2017-04-23 20:16:43
LG7,"['L7G', 'G7L', 'LG7']",Liquid,2012-02-22 22:34:32
BS0,[],Gas,2018-10-07 23:04:38
WJ1,[],Solid,2014-04-30 01:04:53
F0B,[],Liquid,2013-12-06 15:50:32
W0J,['0WJ'],Solid,2016-04-12 12:24:04
WS8,"['8WS', 'WS8']",Solid,2013-01-09 02:13:12
DQ9,[],Liquid,2013-04-19 09:56:01
B9I,"['9BI', 'B9I', 'IB9']",Gas,2013-06-19 20:28:57
9BI,"['9BI', '9IB']",Solid,2018-06-17 05:35:04
JJ4,"['J4J', 'JJ4', 'JJ4']",Gas,2013-04-04 20:45:11
T3J,"['3TJ', 'T3J']",Gas,2017-12-24 01:33:15
Y1L,['1YL'],Gas,2016-08-07 21:44:05
HT7,"['7TH', 'TH7', 'T7H']",Liquid,2017-09-29 09:37:20
N5T,[],Liquid,2018-06-14 09:02:56
D2H,"['D2H', '2DH', '2DH']",Liquid,2016-05-31 02:47:49
V9O,"['9VO', 'O9V']",Solid,2012-10-27 00:33:56
N3Q,"['QN3', '3NQ']",Solid,2010-01-18 14:23:37
JV0,[],Gas,2011-06-29 02:01:14
W6T,"['TW6', 'T6W']",Gas,2019-10-30 04:42:02
XO2,"['O2X', 'X2O', '2XO']",Liquid,2012-09-27 14:33:35
4RF,['F4R'],Gas,2021-01-29 15:07:07
MP1,"['PM1', '1PM', '1PM']",Liquid,2013-01-15 09:21:08
6GK,"['GK6', 'G6K']",Liquid,2020-09-10 04:54:05
K5S,"['5SK', 'S5K']",Gas,2020-08-14 19:52:38
6ZU,[],Gas,2012-05-06 02:36:14
I8A,"['AI8', 'AI8', 'I8A']",Gas,2020-10-03 06:52:28
L9X,"['X9L', 'XL9']",Liquid,2015-07-29 16:35:32
3GR,[],Liquid,2014-03-16 02:59:56
X8J,"['XJ8', 'X8J']",Solid,2018-07-06 07:00:00
Y8K,['KY8'],Solid,2014-01-01 02:18:18
F6O,"['FO6', 'O6F', 'O6F']",Liquid,2018-12-19 00:44:07
1DB,[],Liquid,2020-10-19 15:50:52
9UX,['9UX'],Solid,2021-11-17 21:16:40
1NV,[],Gas,2014-11-25 01:15:58
1YW,"['Y1W', 'W1Y']",Liquid,2017-10-18 05:20:22
0ML,[],Solid,2012-07-01 12:34:26
TL9,['9TL'],Liquid,2015-12-16 17:47:51
R4M,"['4MR', '4RM']",Solid,2019-06-30 19:04:49
D5C,[],Liquid,2011-07-06 17:26:33
O7R,['7RO'],Liquid,2014-12-13 21:23:45
H7S,"['SH7', 'H7S', '7HS']",Gas,2019-06-08 04:06:12
7PT,['T7P'],Liquid,2011-11-20 02:57:44
B8I,[],Gas,2013-10-22 19:56:52
0MU,['U0M'],Solid,2021-05-19 15:17:14
VV9,"['V9V', 'V9V', 'V9V']",Solid,2012-08-25 15:52:51
M1S,['MS1'],Liquid,2012-09-08 20:22:01
1XM,"['XM1', 'XM1', '1XM']",Solid,2020-09-24 16:02:19
HN1,"['H1N', '1HN']",Liquid,2020-05-06 07:26:52
6BK,"['KB6', 'KB6', '6KB']",Liquid,2018-08-15 07:30:03
UY4,['4UY'],Gas,2018-06-25 11:20:52
U2K,['U2K'],Gas,2012-03-24 22:29:07
S9B,"['SB9', 'S9B']",Liquid,2013-01-04 12:20:29
8TS,"['8TS', 'ST8', 'TS8']",Liquid,2014-07-22 16:52:30
5TN,['T5N'],Liquid,2010-09-03 00:27:20
F3W,['W3F'],Solid,2015-01-19 23:42:26
P5Q,"['5PQ', '5QP']",Liquid,2016-09-22 10:40:15
4EQ,['EQ4'],Liquid,2014-01-03 01:46:15
MY1,[],Solid,2013-12-15 07:14:30
L7O,[],Gas,2021-07-01 10:37:18
XR3,"['3XR', 'XR3', 'RX3']",Solid,2017-07-28 12:06:36
U2O,[],Gas,2013-10-02 02:40:51
8EC,[],Liquid,2019-10-29 02:29:49
VT1,[],Solid,2019-09-11 20:45:06
9PM,[],Solid,2013-04-10 18:51:39
6QN,['Q6N'],Liquid,2020-02-01 02:38:20
1CY,"['YC1', 'YC1']",Solid,2017-06-25 17:01:58
2PX,[],Gas,2015-02-14 18:40:07
SP2,['2PS'],Liquid,2018-02-25 01:04:10
F6N,"['N6F', 'F6N']",Liquid,2013-10-31 16:21:55
B1V,[],Gas,2020-01-21 21:01:48
2QB,"['Q2B', 'B2Q', '2QB']",Solid,2012-01-19 05:47:13
LP7,"['PL7', '7PL', '7PL']",Liquid,2019-06-04 18:28:45
5RE,"['5RE', 'ER5']",Gas,2015-06-11 12:12:01
GJ1,"['1GJ', 'JG1']",Solid,2015-04-28 01:23:08
G0R,"['G0R', 'R0G']",Liquid,2013-12-17 03:03:41
P2R,"['PR2', 'R2P', '2RP']",Gas,2016-11-22 19:13:30
H4F,"['HF4', 'HF4']",Solid,2011-05-18 22:14:51
BM7,"['BM7', '7BM']",Gas,2020-06-21 05:15:31
0GZ,['ZG0'],Gas,2021-09-02 06:14:01
MS8,[],Liquid,2016-02-17 15:22:16
L4S,[],Solid,2014-04-15 09:26:06
S3B,[],Liquid,2017-02-04 02:58:40
S7T,[],Gas,2018-09-21 23:13:00
NM6,[],Solid,2018-01-23 05:59:59
BL9,"['LB9', 'BL9', '9LB']",Liquid,2017-09-06 06:55:06
8DX,['8DX'],Liquid,2013-06-02 09:57:34
HQ8,"['H8Q', '8QH']",Solid,2017-11-10 07:05:24
2PL,[],Gas,2018-07-20 19:17:05
4VB,"['BV4', 'BV4', '4VB']",Gas,2011-11-03 09:30:01
0BS,"['0SB', 'BS0', 'BS0']",Liquid,2014-01-30 05:24:28
5MQ,"['5MQ', 'M5Q']",Liquid,2018-11-20 15:45:04
FR2,['FR2'],Solid,2013-11-18 22:58:33
1VD,"['1DV', 'VD1']",Liquid,2011-02-12 18:28:33
5AA,"['AA5', 'A5A', 'A5A']",Solid,2018-04-18 17:49:34
N0S,['0SN'],Gas,2011-07-25 23:17:43
MB3,"['BM3', 'B3M', '3MB']",Gas,2016-11-24 00:38:44
L9Z,[],Solid,2020-03-24 13:21:25
RY5,['YR5'],Solid,2011-02-12 04:04:55
6SP,"['SP6', 'S6P']",Supercritical fluid,2020-10-21 09:34:34
SK4,"['K4S', 'KS4']",Gas,2010-02-03 03:26:13
RF3,"['R3F', 'F3R', 'F3R']",Gas,2018-02-20 13:53:26
1KH,['H1K'],Liquid,2017-10-31 01:03:08
XF9,['X9F'],Liquid,2011-02-20 14:46:23
H5C,"['H5C', 'H5C', 'C5H']",Solid,2013-10-30 23:33:59
RG7,"['G7R', 'R7G', 'G7R']",Gas,2020-10-28 01:47:41
PN7,[],Gas,2011-01-17 06:36:12
A3E,['3AE'],Liquid,2015-04-01 07:02:46
4CI,['C4I'],Liquid,2018-09-19 20:28:02
3OR,[],Liquid,2016-02-28 10:03:09
XS8,['XS8'],Solid,2014-09-25 02:32:34
F2T,[],Solid,2020-11-23 02:11:24
S4Z,"['4SZ', 'ZS4']",Gas,2015-05-10 03:44:36
T9H,[],Gas,2012-04-30 08:03:06
Z6Z,"['ZZ6', 'ZZ6']",Gas,2012-11-24 01:44:01
4YT,['TY4'],Solid,2021-08-07 06:59:38
OL8,"['L8O', 'L8O', 'L8O']",Liquid,2014-03-25 03:24:55
KK7,[],Solid,2015-12-26 21:08:56
SP1,[],Solid,2021-05-05 17:10:15
0RI,"['0RI', '0RI']",Liquid,2013-01-28 21:11:27
2CM,"['C2M', 'M2C']",Gas,2016-03-12 12:32:42
ZS3,"['3ZS', '3SZ']",Gas,2021-06-18 18:16:44
UT8,"['8UT', 'U8T', '8UT']",Gas,2012-02-17 14:40:33
1HO,"['1OH', 'HO1', '1OH']",Gas,2019-11-13 09:46:28
5OG,['OG5'],Solid,2013-10-13 18:57:33
UL3,[],Liquid,2012-08-04 04:36:38
M1I,"['I1M', 'IM1', 'I1M']",Gas,2015-05-14 22:01:39
9KG,[],Gas,2016-10-03 05:54:35
OQ0,[],Liquid,2015-02-22 20:41:06
G6C,['CG6'],Solid,2014-03-12 13:48:28
AN9,"['9NA', 'AN9']",Gas,2020-07-12 08:54:01
0XJ,[],Gas,2018-11-14 10:13:42
PJ0,"['JP0', '0JP', 'P0J']",Liquid,2017-11-21 03:03:01
R7E,[],Gas,2016-09-14 15:45:27
DA5,"['5DA', 'DA5']",Gas,2014-05-09 22:44:50
4VI,"['4IV', 'V4I', 'V4I']",Liquid,2021-06-10 09:15:15
OM2,[],Solid,2013-12-18 23:01:40
Y8T,"['8YT', 'Y8T']",Liquid,2012-10-21 01:55:12
HP4,"['PH4', 'H4P', 'H4P']",Liquid,2021-06-28 08:23:02
PM0,"['MP0', 'P0M']",Gas,2019-01-26 17:42:28
C7E,"['CE7', 'C7E', '7EC']",Liquid,2015-10-27 21:47:31
1YK,['Y1K'],Gas,2018-05-29 00:40:25
ZH3,"['3HZ', '3HZ']",Gas,2019-11-16 14:43:13
G5I,['5GI'],Liquid,2011-05-31 18:58:06
4OK,"['OK4', 'K4O']",Solid,2010-05-27 04:30:29
2UA,"['2UA', 'U2A']",Gas,2015-10-19 08:53:56
HU4,"['4HU', '4HU']",Liquid,2017-06-07 07:53:11
Y6Q,['6YQ'],Solid,2013-10-22 21:33:33
4YQ,['Y4Q'],Liquid,2010-06-22 16:36:41
J9O,"['J9O', 'J9O']",Gas,2010-04-17 09:43:03
DA4,"['4AD', '4AD', 'D4A']",Solid,2019-01-03 10:08:39
IF0,"['0FI', 'FI0', 'F0I']",Plasma,2013-08-14 03:22:25
XW5,['W5X'],Solid,2011-02-13 08:53:14
3JR,[],Liquid,2021-06-21 06:41:58
7MC,"['7CM', 'M7C', 'C7M']",Liquid,2018-02-21 03:43:52
2VQ,[],Gas,2018-03-10 10:09:41
6FP,"['6PF', '6PF', 'FP6']",Solid,2016-02-03 21:29:51
G5N,"['GN5', '5NG', '5GN']",Liquid,2015-03-04 21:35:51
N2Y,[],Solid,2020-09-12 00:13:51
JI3,['JI3'],Liquid,2017-03-24 09:00:08
1JD,"['J1D', 'DJ1', 'JD1']",Liquid,2019-09-18 09:16:51
S7S,['SS7'],Gas,2015-08-22 00:59:22
O5F,['5FO'],Liquid,2015-05-20 04:12:09
Y6Z,['YZ6'],Gas,2013-10-03 11:20:39
5QI,[],Gas,2018-05-08 00:03:30
Q1Z,['ZQ1'],Gas,2020-07-16 06:25:49
9YL,['LY9'],Liquid,2021-12-12 04:22:59
8TN,"['N8T', 'N8T']",Solid,2014-11-19 09:00:50
4WM,"['4MW', 'M4W', '4MW']",Liquid,2020-11-16 11:18:07
NW0,"['0WN', 'NW0', '0NW']",Solid,2013-04-05 03:41:31
GB3,['B3G'],Gas,2010-10-26 04:30:35
GJ7,"['7JG', 'G7J', 'GJ7']",Liquid,2011-11-15 06:59:15
Q0T,[],Solid,2020-03-14 10:58:48
YU0,[],Solid,2019-09-11 20:07:40
4JJ,"['4JJ', 'JJ4', '4JJ']",Gas,2015-10-02 13:51:22
LU5,[],Gas,2014-06-02 16:54:06
SZ7,['7SZ'],Solid,2016-02-24 15:20:10
3DB,"['BD3', 'D3B', 'B3D']",Liquid,2014-10-29 08:18:02
US6,['6US'],Gas,2019-01-18 22:02:42
K1M,"['K1M', '1KM']",Liquid,2010-05-02 03:29:26
L5C,['5CL'],Liquid,2020-10-09 06:07:39
GV3,[],Gas,2010-01-01 18:16:22
FB9,"['9FB', 'F9B', 'FB9']",Solid,2012-10-04 19:38:52
O1K,['K1O'],Liquid,2015-09-13 09:18:41
RN8,"['R8N', 'RN8']",Solid,2011-09-27 09:35:39
XU3,"['UX3', '3XU', 'U3X']",Liquid,2012-04-23 12:35:31
QM4,[],Solid,2018-06-24 13:34:46
H8F,"['8HF', 'F8H']",Gas,2020-11-16 03:42:00
8YO,"['Y8O', '8OY', '8YO']",Gas,2014-12-15 01:29:53
RX8,"['8XR', 'X8R']",Gas,2019-05-08 04:11:05
U2Q,"['2QU', '2QU']",Gas,2017-05-16 05:52:48
M5V,"['M5V', 'M5V', '5MV']",Gas,2011-12-03 04:29:16
GF4,['4GF'],Liquid,2010-11-27 23:40:00
P9A,"['9PA', 'P9A']",Gas,2013-07-24 23:26:46
7PK,['7PK'],Solid,2020-05-02 01:53:07
IW1,"['1IW', '1IW', '1IW']",Liquid,2013-07-23 05:23:08
GM4,"['MG4', 'GM4']",Solid,2017-09-06 17:52:05
5BP,[],Gas,2021-09-25 22:19:56
1BD,"['B1D', '1BD']",Liquid,2011-02-04 00:17:28
D0V,"['DV0', 'VD0']",Liquid,2012-09-19 22:37:44
7ZU,"['7ZU', 'UZ7']",Gas,2011-10-23 03:34:20
K0Q,"['KQ0', 'QK0', '0KQ']",Liquid,2011-05-25 20:51:11
9SG,['9GS'],Liquid,2020-11-22 14:04:57
Y1A,['Y1A'],Liquid,2013-10-22 00:16:42
IJ9,"['JI9', 'J9I']",Solid,2016-09-15 11:20:12
O6W,"['WO6', '6OW']",Gas,2017-02-21 07:44:40
6CC,[],Solid,2010-02-04 19:22:14
1IN,[],Liquid,2019-09-03 23:42:19
EL6,['E6L'],Solid,2018-04-14 04:53:52
M7Z,"['7MZ', 'Z7M']",Gas,2017-10-20 20:25:44
3LK,[],Liquid,2019-04-09 23:25:35
S2X,"['2SX', 'SX2', '2XS']",Liquid,2014-10-07 00:01:31
0OK,[],Solid,2017-08-08 16:22:25
C1W,[],Solid,2021-10-11 23:37:16
C6W,[],Solid,2010-06-21 16:03:00
TV1,"['V1T', '1TV', 'TV1']",Gas,2013-08-13 21:43:21
X3S,"['XS3', 'SX3', 'XS3']",Gas,2011-07-02 07:57:14
U6A,[],Liquid,2017-03-18 05:58:43
3XP,"['P3X', 'P3X']",Solid,2011-10-05 14:26:42
4AM,['4MA'],Solid,2013-12-14 17:31:30
M4O,"['OM4', '4OM']",Supercritical fluid,2017-04-01 13:15:59
G7A,['AG7'],Liquid,2011-06-17 11:29:43
1OO,['O1O'],Liquid,2020-11-19 06:57:50
9AD,"['DA9', '9DA', 'DA9']",Gas,2015-06-21 21:47:52
Y6X,['6XY'],Solid,2019-01-30 00:21:06
C6I,[],Gas,2012-01-21 11:36:34
ZA5,"['5AZ', '5ZA']",Liquid,2020-06-18 14:28:02
3KQ,[],Gas,2014-10-26 14:32:41
AR1,['1AR'],Gas,2010-01-07 20:14:01
IQ8,['IQ8'],Solid,2012-05-26 01:42:02
N2P,"['N2P', 'NP2', 'N2P']",Gas,2013-09-16 11:35:45
1GI,"['G1I', 'G1I']",Gas,2017-04-13 14:57:52
9YY,[],Solid,2020-11-08 01:15:44
LX9,"['9XL', '9LX']",Solid,2010-06-16 20:59:53
2GO,"['OG2', 'G2O', '2GO']",Liquid,2016-10-25 10:26:10
JP7,"['J7P', 'P7J', 'JP7']",Liquid,2020-05-15 11:12:48
GK6,['KG6'],Gas,2015-06-27 11:52:43
6JC,['CJ6'],Liquid,2018-11-26 10:24:22
3NV,"['VN3', 'NV3', 'N3V']",Solid,2020-08-28 16:56:55
1FB,['B1F'],Liquid,2017-02-12 22:57:30
9AU,"['9AU', '9AU', 'UA9']",Gas,2013-03-28 03:21:22
W8C,"['CW8', 'W8C']",Solid,2016-09-14 16:06:00
7CY,"['7CY', 'C7Y', 'YC7']",Gas,2011-12-19 10:54:56
3DP,[],Liquid,2010-02-20 18:07:51
NQ1,"['N1Q', 'QN1']",Liquid,2013-04-02 19:36:01
A8D,"['8DA', 'AD8']",Gas,2015-04-14 01:25:43
0BD,"['BD0', 'DB0']",Solid,2012-12-12 21:59:33
BV7,"['BV7', 'BV7', '7BV']",Liquid,2020-06-26 03:27:16
Z7L,"['ZL7', 'L7Z', '7LZ']",Solid,2011-08-02 05:44:30
F6J,[],Gas,2011-04-03 06:24:52
TL0,"['LT0', 'TL0', 'L0T']",Liquid,2017-06-06 01:24:40
WR3,[],Solid,2015-02-25 04:44:47
NP7,['PN7'],Solid,2017-10-01 05:22:04
TK2,"['2KT', '2TK']",Gas,2017-01-03 02:59:19
WS5,[],Liquid,2017-07-14 12:48:05
T0S,"['0TS', 'S0T']",Liquid,2018-01-23 17:17:51
1UD,"['1UD', 'D1U', '1DU']",Gas,2019-06-19 04:37:45
8QS,"['QS8', 'Q8S']",Solid,2018-04-26 15:18:35
8VK,"['KV8', 'VK8']",Gas,2012-09-14 01:04:50
6XN,"['6NX', 'N6X', 'XN6']",Liquid,2012-07-28 09:54:39
ZU5,"['5ZU', 'U5Z']",Solid,2018-10-11 00:42:54
RM6,"['R6M', '6RM', '6MR']",Gas,2010-12-29 09:37:00
C4E,"['EC4', 'EC4', 'EC4']",Gas,2011-06-24 07:00:00
P1I,[],Solid,2012-10-29 06:15:05
7ZG,[],Liquid,2013-12-28 20:59:19
FZ3,['3FZ'],Liquid,2021-09-21 05:34:19
A5A,['AA5'],Gas,2013-05-12 11:51:05
N4V,[],Gas,2019-08-28 13:44:54
P1V,"['P1V', 'VP1', '1VP']",Liquid,2017-11-14 02:55:49
5JW,"['WJ5', 'W5J', '5WJ']",Solid,2013-12-03 04:38:35
7DN,"['D7N', 'D7N', 'N7D']",Solid,2021-11-30 05:50:41
F8P,['FP8'],Gas,2020-05-16 14:53:02
4TQ,['TQ4'],Liquid,2017-11-10 14:08:32
KW6,[],Liquid,2013-01-23 07:48:13
DJ7,"['D7J', '7JD', 'JD7']",Solid,2017-04-02 08:47:37
1FV,"['F1V', '1VF']",Solid,2020-02-14 15:59:28
ZU0,[],Liquid,2011-07-20 23:08:03
P4Z,"['PZ4', 'ZP4', '4PZ']",Liquid,2019-03-20 16:47:22
JD2,[],Solid,2013-05-14 01:00:42
6BP,[],Liquid,2017-09-10 08:56:45
A7J,[],Solid,2021-12-01 14:54:03
NB2,"['2BN', 'NB2']",Solid,2021-01-06 00:32:48
UK3,"['3UK', 'KU3', '3UK']",Solid,2016-09-27 17:46:24
I5S,"['I5S', 'SI5']",Solid,2010-03-27 05:18:40
EP8,['E8P'],Solid,2021-03-13 13:02:43
C3N,"['3NC', 'C3N', 'NC3']",Gas,2017-12-15 02:08:03
UQ7,"['7QU', 'Q7U', 'Q7U']",Gas,2011-09-30 06:47:54
5WE,"['5WE', 'W5E', 'W5E']",Solid,2017-07-07 22:07:17
K5Y,"['K5Y', 'Y5K', '5YK']",Gas,2011-01-07 12:24:50
E8J,[],Solid,2019-02-02 12:51:44
UL7,"['7UL', 'L7U', '7UL']",Liquid,2016-04-30 05:21:46
8XK,[],Solid,2019-09-10 10:57:08
F2T,[],Gas,2015-03-14 12:26:03
SV6,['S6V'],Solid,2017-12-12 23:09:25
I0Y,[],Liquid,2021-06-16 11:04:24
D4C,['CD4'],Liquid,2014-07-30 13:00:29
YK8,['KY8'],Solid,2019-10-05 04:47:13
LJ5,"['5LJ', 'J5L']",Liquid,2017-02-28 23:54:17
D6N,"['DN6', '6DN']",Solid,2010-04-23 19:55:40
WU1,"['1WU', '1WU', 'U1W']",Liquid,2013-02-25 11:29:55
MG8,"['MG8', 'GM8']",Liquid,2012-08-27 05:38:32
6KZ,"['6ZK', 'Z6K', 'K6Z']",Solid,2014-01-04 08:41:24
SF2,"['2SF', 'SF2', 'F2S']",Solid,2015-11-14 13:08:00
S6X,[],Solid,2011-04-14 17:05:59
5EZ,"['5ZE', 'EZ5', '5ZE']",Gas,2012-04-24 15:19:52
U0H,[],Gas,2014-03-29 12:29:23
W5X,[],Gas,2014-06-21 02:54:46
0FY,"['YF0', '0YF']",Liquid,2017-07-22 11:40:11
BG5,"['BG5', 'B5G', '5GB']",Liquid,2013-10-16 06:22:20
PB5,['P5B'],Solid,2019-07-27 17:46:09
EX6,['6EX'],Solid,2016-11-07 21:28:08
7VE,['E7V'],Gas,2018-02-15 10:03:13
0MW,"['M0W', '0WM', '0MW']",Liquid,2018-10-20 04:07:00
S8W,"['8WS', 'WS8']",Liquid,2017-12-27 01:35:34
NG6,"['N6G', '6GN', 'G6N']",Solid,2010-11-14 04:34:09
PP5,"['P5P', '5PP', 'PP5']",Liquid,2017-10-12 04:00:25
IL8,['L8I'],Solid,2015-07-05 22:33:45
N9L,"['NL9', '9NL']",Solid,2019-10-21 14:54:25
Q9S,['QS9'],Gas,2020-10-28 05:27:27
3ZX,"['Z3X', 'ZX3']",Solid,2010-12-09 20:46:15
CL6,[],Liquid,2011-06-23 20:02:46
6IO,"['6IO', 'I6O']",Liquid,2021-07-25 12:24:35
5YR,[],Liquid,2021-01-25 00:08:45
YE5,[],Gas,2020-01-27 15:23:30
B7G,['G7B'],Solid,2015-01-31 08:10:01
OQ5,"['Q5O', 'OQ5']",Gas,2017-09-17 22:22:30
